"Lien_E";"Actifs";"Non_actifs";"Portabilite";"Max_regroup1";"Max_regroup4";"Max_regroup2";"Max_regroup3";"Base";"Option";"Remb_rc_2018";"Remb_ro_2018";"Qte_acte_2018";"Remb_rc_2019";"Remb_ro_2019";"Qte_acte_2019";"Remb_rc_2020";"Remb_ro_2020";"Qte_acte_2020";"Remb_rc_2021";"Remb_ro_2021";"Qte_acte_2021";"Remb_rc_2022";"Remb_ro_2022";"Qte_acte_2022";"Dentaire_2018";"Maladie_2018";"Vie_2018";"Hospitalisation_2018";"Optique_2018";"Dentaire_2019";"Maladie_2019";"Vie_2019";"Hospitalisation_2019";"Optique_2019";"Dentaire_2020";"Maladie_2020";"Vie_2020";"Hospitalisation_2020";"Optique_2020";"Dentaire_2021";"Maladie_2021";"Vie_2021";"Hospitalisation_2021";"Optique_2021";"Dentaire_2022";"Maladie_2022";"Vie_2022";"Hospitalisation_2022";"Optique_2022"
"209";6253605738;2227517808;319829415;"1_ERCAC";"29";"2_Affaires_directes";"3_Sante";8800952961;0;392121.454574747;427391.64;260677;416383.187711544;445472.8;264197;372031.971338811;380936.06;259778;425843.357787975;427866.12;290079;324353.945763269;329143.94;179502;33845;1254605;55;10050;4830;34440;1265245;65;16420;4815;26290;1224745;45;43900;3910;30110;1356780;80;58655;4770;19040;864375;5;11505;2585
"21";0;0;0;"1_ER11";"3";"2_Affaires_directes";"3_Sante";0;0;733.080530959629;0;0;217.2501153838;0;0;361.857563402246;0;0;551.523469151831;0;0;438.460003888036;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"210";0;1031366;0;"1_ERCAC";"27";"2_Affaires_directes";"3_Sante";1031366;0;1278.6754450695;2829.91;1266;1117.37403803669;1837.7;1125;1048.49168369155;1331.86;1398;2890.57468720898;2827.87;2338;837.954266429813;399.49;279;25;6290;0;15;0;20;5600;0;5;0;5;6975;0;0;10;15;11450;0;205;20;0;1385;0;0;10
"211";0;110135194;0;"1_ERCAC";"27";"2_Affaires_directes";"3_Sante";110135194;0;34604.8878440694;43597.53;20376;32328.4550799064;44287.67;21673;21740.2987868542;25662.82;17143;32479.0267296279;34012.55;20953;14378.7771460917;18194.03;9982;455;100005;0;1150;270;445;104300;5;3435;180;385;84555;0;630;145;400;97245;0;6980;140;250;49095;0;475;90
"212";0;32782;0;"1_ERCAC";"27";"2_Affaires_directes";"3_Sante";32782;0;4310.66325258186;238.42;594;4516.7569586938;99.51;185;41.9226427525242;61.18;23;408.009391820553;546.33;84;0;0;0;0;1736;0;640;0;0;136;4;588;12;0;92;0;0;0;0;328;0;0;8;0;0;0;0;0
"213";0;1104809;0;"1_ERCAC";"27";"2_Affaires_directes";"3_Sante";1104809;0;2484.49025752147;4293.44;1945;9545.57954966631;3941.35;1106;6710.96688445342;3918.72;2219;5670.11758924043;3070.14;1383;1667.10584563606;823.77;384;20;9695;0;10;0;200;5290;0;25;15;205;10860;0;15;15;35;6815;0;50;15;0;1900;0;5;15
"214";1837944;0;0;"1_ERCAC";"27";"2_Affaires_directes";"3_Sante";1837944;0;2441.25402381397;1814.59;1706;12884.1157354565;1747.48;1914;9153.61031697315;918.2;2110;8311.66257820484;4715.15;2114;19439.411252291;15921.48;1300;20;8065;0;415;30;15;6680;5;2870;0;15;8260;0;2260;15;30;8700;0;1840;0;0;4505;0;1980;15
"215";208034738;18331936;5892408;"1_ERCAC";"5";"2_Affaires_directes";"3_Sante";232259082;0;55937.9656670387;79311.74;32208;52721.4934505639;53635.62;37698;49003.4530036724;46439.69;28226;63083.8502499591;60653.17;38765;40147.2712663213;48968.82;26781;5745;153615;10;1035;635;7320;177425;5;3185;555;6410;133745;0;385;590;5495;182015;5;5620;690;4020;129310;0;300;275
"216";0;682772;0;"1_ERCAC";"27";"2_Affaires_directes";"3_Sante";682772;0;6308.65502109699;2950.53;1669;3992.49298404013;1390.65;1449;4310.79166257037;1557.11;415;3788.89997555706;1804;957;4586.22466637725;1469.82;722;30;8300;0;0;15;0;7245;0;0;0;0;2055;0;5;15;25;4740;0;20;0;20;3590;0;0;0
"217";76606236;12859560;2633148;"1_ERCAC";"30";"2_Affaires_directes";"3_Sante";92098944;0;13755.8581535536;17936.29;11552;18231.0355469748;20074.34;14479;12813.7104134768;13906.35;14176;14511.7460652279;15462.49;13156;11094.1190437355;12881.95;7873;1370;55050;0;1215;125;1390;70575;0;205;225;450;67805;0;2535;90;1000;64445;0;210;125;505;38650;0;90;120
