"Lien_E";"Actifs";"Non_actifs";"Portabilite";"Max_regroup1";"Max_regroup4";"Max_regroup2";"Max_regroup3";"Base";"Option";"Mnt_dep_2018";"Remb_rc_2018";"Remb_ro_2018";"Qte_acte_2018";"Mnt_dep_2019";"Remb_rc_2019";"Remb_ro_2019";"Qte_acte_2019";"Mnt_dep_2020";"Remb_rc_2020";"Remb_ro_2020";"Qte_acte_2020";"Mnt_dep_2021";"Remb_rc_2021";"Remb_ro_2021";"Qte_acte_2021";"Mnt_dep_2022";"Remb_rc_2022";"Remb_ro_2022";"Qte_acte_2022";"Dentaire_2018";"Maladie_2018";"Vie_2018";"Hospitalisation_2018";"Optique_2018";"Dentaire_2019";"Maladie_2019";"Vie_2019";"Hospitalisation_2019";"Optique_2019";"Dentaire_2020";"Maladie_2020";"Vie_2020";"Hospitalisation_2020";"Optique_2020";"Dentaire_2021";"Maladie_2021";"Vie_2021";"Hospitalisation_2021";"Optique_2021";"Dentaire_2022";"Maladie_2022";"Vie_2022";"Hospitalisation_2022";"Optique_2022"
"91";917215;0;0;"1_ER66";"17";"2_Affaires_directes";"3_Sante";917215;0;2674.84;860.066713526857;1147.44;754;6516.88;1783.39064893554;4055.18;471;1729.23;703.239939136688;897.02;261;1131.39;405.555746716291;567.85;232;514.02;244.997868180264;310.02;63;31;1700;0;41;9;31;1700;0;41;9;31;1700;0;41;9;31;1700;0;41;9;31;1700;0;41;9
"910";183251850250;0;0;"1_ERCAC";"5";"2_Affaires_directes";"3_Sante";183251850250;0;2815231.25;1205595.24557295;1265109.53;592450;3035768.5;1348417.34314377;1353967.69;677667;2763270.39;1254937.94971901;1305935.33;637852;3090337.68;1502132.78266594;1405453.99;661247;2177386.16;1001517.5025003;1251646.67;457239;13661;2900998;1;107016;4779;13661;2900998;1;107016;4779;13661;2900998;1;107016;4779;13661;2900998;1;107016;4779;13661;2900998;1;107016;4779
"911";2214888555;79808685;150925335;"1_ERCAC";"109";"2_Affaires_directes";"3_Sante";2445622575;0;103225.91;37902.5645357546;54794.74;27063;140162.45;57360.8404463568;70005.39;40430;92527.14;38019.162625058;47361.8;34190;106395.22;44025.0544540011;55358.88;37730;62716.6;32742.4384624101;32777.5;18624;2283;143372;0;11984;398;2283;143372;0;11984;398;2283;143372;0;11984;398;2283;143372;0;11984;398;2283;143372;0;11984;398
"912";509727680;0;0;"1_ERCAC";"110";"2_Affaires_directes";"3_Sante";509727680;0;100002.16;42582.169416412;49370.79;17709;87616.73;41730.332319235;39425.87;19082;70634.9;37528.9209045396;29590.41;20559;103933.52;52433.1760538313;43581.48;30426;71649.68;40207.4988829614;32382.98;18528;5070;96676;2;4183;373;5070;96676;2;4183;373;5070;96676;2;4183;373;5070;96676;2;4183;373;5070;96676;2;4183;373
"913";619545;0;0;"1_ER66";"3";"2_Affaires_directes";"3_Sante";619545;0;1961.33;1146.46572306228;706.46;68;1818.52;939.263893771691;774.93;194;2609.62;1613.49126496148;966.71;317;3100.62;1757.35786925674;1024.17;335;714.86;310.334736845221;362.79;289;412;773;0;0;18;412;773;0;0;18;412;773;0;0;18;412;773;0;0;18;412;773;0;0;18
"914";13433390;0;0;"1_ER11";"3";"2_Affaires_directes";"3_Sante";13433390;0;12085.54;4781.26070517163;4176.72;1899;8838.4;3783.46951036582;4609.19;3171;8128.98;4001.08192421209;3651.94;2758;6656.09;3278.52254909868;3198.67;2307;1834.76;730.8077113156;1059.16;319;151;9933;0;330;40;151;9933;0;330;40;151;9933;0;330;40;151;9933;0;330;40;151;9933;0;330;40
"915";0;236600;0;"1_ER66";"3";"2_Affaires_directes";"3_Sante";236600;0;981.84;768.649838390426;17.86;29;1836.88;391.503568357042;367.88;3;1196.4;40.9755242972215;1155.53;512;1094.35;93.5181481687069;1001.6;433;679.85;43.1270116701238;644.82;206;4;1158;0;18;3;4;1158;0;18;3;4;1158;0;18;3;4;1158;0;18;3;4;1158;0;18;3
"916";1580550;0;77100;"1_ER66";"3";"2_Affaires_directes";"3_Sante";1657650;0;1533.36;527.832610790124;936.14;647;3432.58;1748.81802362602;1300.17;671;1808.34;738.621997401251;725.01;337;3087.24;1325.26548780421;1445.07;284;3116.05;1550.76263687709;1186.61;631;58;2488;0;16;8;58;2488;0;16;8;58;2488;0;16;8;58;2488;0;16;8;58;2488;0;16;8
"917";0;478764;0;"1_ER11";"3";"2_Affaires_directes";"3_Sante";478764;0;0;0;0;0;0;0;0;0;1452.37;684.444385908756;744.67;911;4357.99;2535.92604013131;1697.65;1047;1772.85;1013.22007805867;857.16;460;0;0;0;0;0;0;0;0;0;0;9;2391;0;0;18;9;2391;0;0;18;9;2391;0;0;18
"918";0;3913910;0;"1_ER11";"2";"2_Affaires_directes";"3_Sante";3913910;0;6692.12;3265.41694917975;2919.52;949;8120.03;3146.38063297126;3771.21;1182;5478.13;3135.92167571706;2020.01;821;4604.44;2815.37338268397;1735.05;774;2109.05;772.900561130089;1307.28;575;42;4214;0;16;29;42;4214;0;16;29;42;4214;0;16;29;42;4214;0;16;29;42;4214;0;16;29
"919";6473640;0;0;"1_ER11";"3";"2_Affaires_directes";"3_Sante";6473640;0;7653.56;2643.11981270385;4546.93;1605;5677.78;1613.3330883656;3778.2;2173;3256.88;1313.50881651818;1662.22;805;7431.34;3157.21183777766;3946.93;952;4918.77;1760.27890424854;3350.11;377;24;5588;0;279;21;24;5588;0;279;21;24;5588;0;279;21;24;5588;0;279;21;24;5588;0;279;21
"92";1117350;0;0;"1_ER66";"17";"2_Affaires_directes";"3_Sante";1117350;0;446.21;157.549497223651;288.67;460;1733.78;533.871720131611;1206.58;1005;1393.52;630.507411827081;755.73;198;1584.21;704.01206586791;844.04;722;458.42;95.5122342383158;380.28;98;7;2463;0;11;2;7;2463;0;11;2;7;2463;0;11;2;7;2463;0;11;2;7;2463;0;11;2
"920";146854890;12685140;2195505;"1_ERCAC";"5";"2_Affaires_directes";"3_Sante";161735535;0;36938.35;15018.37269729;15542.07;12276;40045.73;15878.1788679377;19836.44;9933;32388.59;16111.6048436452;12418.01;12188;30436.32;13427.7438137647;13322.96;10983;14542.01;5202.84367279979;9780.2;3409;1291;46979;3;379;137;1291;46979;3;379;137;1291;46979;3;379;137;1291;46979;3;379;137;1291;46979;3;379;137
"921";1772250480;208363365;25561305;"1_ERCAC";"111";"2_Affaires_directes";"3_Sante";2006175150;0;203596.7;82637.5455351567;97565.35;39654;138575.99;63023.7462385615;58842.75;30687;103698.56;49062.9135543863;46504.11;25898;118580.7;54851.2584804998;54001.24;35608;70819.81;39812.0920220395;35300.16;23070;4842;144596;9;4908;562;4842;144596;9;4908;562;4842;144596;9;4908;562;4842;144596;9;4908;562;4842;144596;9;4908;562
"922";135227560;43250920;15329440;"1_ERCAC";"5";"2_Affaires_directes";"3_Sante";193807920;0;35777.42;16133.0892571411;15972.94;12680;37273.18;17775.5655431507;16381.49;11046;37473.82;19617.2626703096;14971.31;10789;39469.6;20321.4178952628;17406.22;12438;24575.84;14971.8443473972;12054.01;7795;1305;51642;1;1608;192;1305;51642;1;1608;192;1305;51642;1;1608;192;1305;51642;1;1608;192;1305;51642;1;1608;192
"923";412484940;17318070;14694120;"1_ERCAC";"112";"2_Affaires_directes";"3_Sante";444497130;0;25799.87;10535.5198325905;12967.1;6100;36015.79;16471.6112748628;13446.22;13558;24750.99;11486.8007246797;11610.45;12533;61739.21;27338.1800023683;21295.46;13478;41284.49;18576.3293150594;22876.22;6810;719;50496;1;1003;260;719;50496;1;1003;260;719;50496;1;1003;260;719;50496;1;1003;260;719;50496;1;1003;260
"924";2468100;0;0;"1_ER11";"3";"2_Affaires_directes";"3_Sante";2468100;0;7942.98;3057.66707071327;3983.69;2155;4784.75;2402.63055886241;1172;584;483.3;144.707610938746;338.92;32;3560.73;1343.06871126986;1966;1494;1995.01;1063.03220743844;771.53;65;130;3929;0;244;27;130;3929;0;244;27;130;3929;0;244;27;130;3929;0;244;27;130;3929;0;244;27
