"Lien_E";"Actifs";"Non_actifs";"Portabilite";"Produit1";"Produit2";"Produit3";"Annee_adhesion";"Tps_adh_entreprise";"Max_code_ape";"Max_departement";"Max_regroup1";"Max_regroup4";"BASE_percent";"OPTION_percent";"Nb_pers";"Nb_fam";"Anciennete_moy";"Tps_adh_moy_pers";"Asspri";"Asspri_percent";"Conjoint";"Conjoint_percent";"Enfant";"Enfant_percent";"Femme";"Femme_percent";"Homme";"Homme_percent";"Respo";"Respo_percent";"Non_respo";"Non_respo_percent";"VIP";"Prod1_Ind2018";"Prod1_Ind2019";"Prod1_Ind2020";"Prod1_Ind2021";"Prod1_Ind2022";"Prod1_Ind2023";"Prod2_Ind2018";"Prod2_Ind2019";"Prod2_Ind2020";"Prod2_Ind2021";"Prod2_Ind2022";"Prod2_Ind2023";"Prod3_Ind2018";"Prod3_Ind2019";"Prod3_Ind2020";"Prod3_Ind2021";"Prod3_Ind2022";"Prod3_Ind2023";"Renégo2020";"Renégo2021";"Renégo2022"
"615";0;88;0;1348;NA;NA;2011;4336;NA;NA;"ERCAC";"53";100;0;52;16;2011;3380;48;54.5454545454545;36;40.9090909090909;4;4.54545454545455;42;47.7272727272727;46;52.2727272727273;0;0;0;0;FALSE;0.04;0;0;0;0.02;0.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"616";0;0;10;1319;NA;NA;2015;2875;NA;NA;"ERCAC";"53";100;0;0;0;2019;365;10;100;0;0;0;0;8;80;2;20;10;100;0;0;TRUE;0.04;0.02;0.01;0.1;0.15;0.15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"617";1804;7;0;1350;NA;NA;2014;3068;"5610C";"15";"ERCAC";"53";100;0;420;166;2019;2721;1603;88.5146327995583;54;2.98177802319161;154;8.50358917725014;884;48.8128106018774;927;51.1871893981226;1811;100;0;0;TRUE;0.04;0;NA;0;0.02;0.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"618";118;196;14;1351;1394;NA;2011;4252;"1051C";"15";"ERCAC";"53";100;0;158;48;2013;4697;189;57.6219512195122;87;26.5243902439024;52;15.8536585365854;151;46.0365853658537;177;53.9634146341463;328;100;0;0;FALSE;0.01;0;NA;NA;NA;0.1;0.01;0;NA;NA;NA;0.1;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"619";0;118;0;1356;NA;NA;2011;4336;NA;NA;"ERCAC";"53";100;0;70;25;2011;3287;72;61.0169491525424;30;25.4237288135593;16;13.5593220338983;70;59.3220338983051;48;40.6779661016949;0;0;0;0;FALSE;0.025;0;0;0.08;0.03;0.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"62";12;0;0;101;NA;NA;2008;5158;"4332B";"11";"ER11";"3";100;0;10;2;2009;5158;4;33.3333333333333;4;33.3333333333333;4;33.3333333333333;6;50;6;50;12;100;0;0;FALSE;0.04;0;0;0;0.02;0.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"620";0;62;0;1357;NA;NA;2011;4336;NA;NA;"ERCAC";"53";100;0;32;12;2011;3896;42;67.741935483871;20;32.258064516129;0;0;38;61.2903225806452;24;38.7096774193548;0;0;0;0;FALSE;0.01;0;0;0;0.02;0.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"621";0;18;0;1360;1358;NA;2011;4246;"9312Z";NA;"ERCAC";"53";100;0;12;5;2012;6741;14;77.7777777777778;4;22.2222222222222;0;0;6;33.3333333333333;12;66.6666666666667;18;100;0;0;FALSE;0.2;0.02;0.01;0;0.04;0.1;0.2;0.02;0.01;0;0.04;0.1;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"622";0;16;0;1359;NA;NA;2011;4336;"9312Z";NA;"ERCAC";"53";100;0;14;6;2011;4336;14;87.5;2;12.5;0;0;10;62.5;6;37.5;16;100;0;0;FALSE;0.1;0.02;0;0;0.02;0.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"623";0;130;0;1361;NA;NA;2011;4336;NA;NA;"ERCAC";"53";100;0;74;25;2011;3500;92;70.7692307692308;36;27.6923076923077;2;1.53846153846154;68;52.3076923076923;62;47.6923076923077;0;0;0;0;FALSE;0.025;0;0;0.01;0.02;0.08;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
