"Lien_E";"Code_ape";"Departement";"Regroup1";"Regroup4";"Produit_max";"Nb_pers_2018";"Nb_fam_2018";"Base_2018";"Option_2018";"Actifs_2018";"Non_actifs_2018";"Portabilite_2018";"Asspri_2018";"Conjoint_2018";"Enfants_2018";"Femmes_2018";"Hommes_2018";"Respo_2018";"Non_respo_2018";"Index_2018";"Tps_adh_E_par_L_2018";"Tps_adh_P_par_L_2018";"Nb_pers_2019";"Nb_fam_2019";"Base_2019";"Option_2019";"Actifs_2019";"Non_actifs_2019";"Portabilite_2019";"Asspri_2019";"Conjoint_2019";"Enfants_2019";"Femmes_2019";"Hommes_2019";"Respo_2019";"Non_respo_2019";"Index_2019";"Tps_adh_E_par_L_2019";"Tps_adh_P_par_L_2019";"Nb_pers_2020";"Nb_fam_2020";"Base_2020";"Option_2020";"Actifs_2020";"Non_actifs_2020";"Portabilite_2020";"Asspri_2020";"Conjoint_2020";"Enfants_2020";"Femmes_2020";"Hommes_2020";"Respo_2020";"Non_respo_2020";"Index_2020";"Tps_adh_E_par_L_2020";"Tps_adh_P_par_L_2020";"Nego_2020";"Nb_pers_2021";"Nb_fam_2021";"Base_2021";"Option_2021";"Actifs_2021";"Non_actifs_2021";"Portabilite_2021";"Asspri_2021";"Conjoint_2021";"Enfants_2021";"Femmes_2021";"Hommes_2021";"Respo_2021";"Non_respo_2021";"Index_2021";"Tps_adh_E_par_L_2021";"Tps_adh_P_par_L_2021";"Nego_2021";"Nb_pers_2022";"Nb_fam_2022";"Base_2022";"Option_2022";"Actifs_2022";"Non_actifs_2022";"Portabilite_2022";"Asspri_2022";"Conjoint_2022";"Enfants_2022";"Femmes_2022";"Hommes_2022";"Respo_2022";"Non_respo_2022";"Index_2022";"Index_2023";"Tps_adh_E_par_L_2022";"Tps_adh_P_par_L_2022";"Nego_2022";"VIP"
"318";"8899B";"12";"ERCAC";"41";"811";30;23;30;0;20;0;2;22;2;6;14;16;30;0;NA;2;1.8;33;26;33;0;24;0;1;25;2;6;16;17;33;0;NA;3;2.4;31;25;31;0;23;0;1;24;2;5;15;16;31;0;NA;4;3.2;FALSE;30;25;30;0;23;0;0;23;1;6;15;15;30;0;NA;5;4;FALSE;33;26;33;0;25;0;0;25;1;7;17;16;33;0;NA;NA;6;4.2;FALSE;FALSE
"319";"7010Z";NA;"ERCAC";"27";"812";3;3;3;0;0;3;0;3;0;0;1;2;0;3;NA;6.9;1.9;3;3;3;0;0;3;0;3;0;0;1;2;0;3;NA;7.9;2.9;3;3;3;0;0;3;0;3;0;0;1;2;0;3;NA;8.9;3.9;FALSE;3;3;3;0;0;3;0;3;0;0;1;2;0;3;NA;9.9;4.9;FALSE;2;2;2;0;0;2;0;2;0;0;1;1;0;2;NA;NA;10.9;5.9;FALSE;FALSE
"32";"8690A";"11";"ERCAC";"7";"41";531;329;325;206;282;15;25;322;69;140;239;292;531;0;0;3.9;2.7;689;427;419;270;364;22;35;421;82;186;291;398;689;0;0;4;2.9;761;482;470;291;421;24;31;476;75;210;333;428;761;0;0;4.5;3.2;FALSE;937;580;555;382;517;26;31;574;92;271;405;532;937;0;NA;5;3.5;FALSE;1041;648;640;401;601;25;17;643;107;291;455;586;1041;0;0;0;5.5;3.8;FALSE;FALSE
"320";"7010Z";NA;"ERCAC";"27";"813";1;1;1;0;0;1;0;1;0;0;0;1;0;1;NA;4.8;4;1;1;1;0;0;1;0;1;0;0;0;1;0;1;NA;5.8;5;1;1;1;0;0;1;0;1;0;0;0;1;0;1;NA;6.8;6;FALSE;1;1;1;0;0;1;0;1;0;0;0;1;0;1;NA;7.8;7;FALSE;1;1;1;0;0;1;0;1;0;0;0;1;0;1;NA;NA;8.8;8;FALSE;FALSE
"321";"7010Z";NA;"ERCAC";"27";"814";7;6;7;0;0;6;0;6;1;0;5;2;0;7;NA;8.9;5.4;5;4;5;0;0;4;0;4;1;0;3;2;0;5;NA;9.9;5.5;5;4;5;0;0;4;0;4;1;0;3;2;0;5;NA;10.9;6.5;FALSE;4;4;4;0;0;4;0;4;0;0;2;2;0;4;NA;11.9;8;FALSE;4;4;4;0;0;4;0;4;0;0;2;2;0;4;NA;NA;12.9;9;FALSE;FALSE
"322";"7010Z";"12";"ERCAC";"27";"815";89;68;89;0;1;65;0;66;23;0;51;38;0;89;NA;21;16.1;84;63;84;0;1;60;0;61;23;0;49;35;0;84;NA;22;17.1;80;60;80;0;1;57;0;58;22;0;48;32;0;80;NA;23;18.2;FALSE;78;59;78;0;1;56;0;57;21;0;48;30;0;78;NA;24;19.2;FALSE;71;54;71;0;1;51;0;52;19;0;45;26;0;71;NA;NA;25;20.2;FALSE;FALSE
"323";"7010Z";NA;"ERCAC";"27";"816";3;2;3;0;0;2;0;2;1;0;1;2;0;3;NA;9;6.8;3;2;3;0;0;2;0;2;1;0;1;2;0;3;NA;10;7.8;3;2;3;0;0;2;0;2;1;0;1;2;0;3;NA;11;8.8;FALSE;1;1;1;0;0;1;0;1;0;0;0;1;0;1;NA;12;12;FALSE;1;1;1;0;0;1;0;1;0;0;0;1;0;1;NA;NA;13;13;FALSE;FALSE
"324";"7010Z";NA;"ERCAC";"27";"817";247;170;247;0;0;170;0;170;70;7;141;106;247;0;NA;4;3;241;168;241;0;0;168;0;168;68;5;140;101;241;0;NA;5;4;229;159;229;0;0;159;0;159;66;4;133;96;229;0;NA;6;5;FALSE;219;154;219;0;0;154;0;154;62;3;129;90;219;0;NA;7;6;FALSE;206;148;206;0;0;148;0;148;57;1;125;81;206;0;NA;NA;8;7;FALSE;FALSE
"325";NA;NA;"ERCAC";"27";"923";250;198;250;0;0;198;0;198;52;0;149;101;172;78;NA;22.7;7.3;221;178;221;0;0;178;0;178;43;0;134;87;155;66;NA;23.9;8.3;194;159;194;0;0;159;0;159;35;0;119;75;138;56;NA;24.9;9.4;FALSE;165;137;165;0;0;137;0;137;28;0;103;62;127;38;NA;25.3;10.4;FALSE;132;113;132;0;0;113;0;113;19;0;84;48;103;29;NA;NA;25.3;11.4;FALSE;FALSE
"326";NA;"12";"ERCAC";"27";"822";87;71;87;0;13;52;0;65;22;0;47;40;87;0;NA;31.9;22.9;81;67;81;0;12;50;0;62;19;0;44;37;81;0;NA;33;23.1;76;64;76;0;12;48;0;60;16;0;42;34;76;0;NA;34;24.9;FALSE;73;61;73;0;12;45;0;57;16;0;39;34;73;0;NA;35;25.9;FALSE;70;59;70;0;12;44;0;56;14;0;37;33;70;0;NA;NA;36;26.9;FALSE;FALSE
"327";"4673A";NA;"ERCAC";"5";"824";2;2;2;0;0;2;0;2;0;0;2;0;2;0;NA;3;1.6;2;2;2;0;0;2;0;2;0;0;2;0;2;0;NA;4;2.6;2;2;2;0;0;2;0;2;0;0;2;0;2;0;NA;5;3.6;FALSE;1;1;1;0;0;1;0;1;0;0;1;0;1;0;NA;6;5.8;FALSE;1;1;1;0;0;1;0;1;0;0;1;0;1;0;NA;NA;7;6.8;FALSE;FALSE
"33";"4634Z";"11";"ER11";"2";"45";2;2;2;0;0;2;0;2;0;0;2;0;0;2;NA;22.5;15.2;2;2;2;0;0;2;0;2;0;0;2;0;0;2;NA;23.5;16.2;2;2;2;0;0;2;0;2;0;0;2;0;0;2;NA;24.5;17.2;FALSE;2;2;2;0;0;2;0;2;0;0;2;0;0;2;NA;25.5;18.2;FALSE;2;2;2;0;0;2;0;2;0;0;2;0;0;2;NA;NA;26.5;19.2;FALSE;FALSE
"330";"8720A";"48";"ERCAC";"27";"827";16;16;16;0;16;0;0;16;0;0;6;10;16;0;NA;7.9;6.1;15;15;15;0;15;0;0;15;0;0;6;9;15;0;NA;8.9;7;13;13;13;0;13;0;0;13;0;0;5;8;13;0;NA;9.9;7.7;FALSE;12;12;12;0;12;0;0;12;0;0;5;7;12;0;NA;10.9;8.1;FALSE;10;10;10;0;10;0;0;10;0;0;4;6;10;0;NA;NA;11.9;9.6;FALSE;FALSE
"331";"4211Z";"15";"ERCAC";"27";"828";106;48;106;0;28;18;0;46;29;31;50;56;106;0;NA;4.4;3.9;92;44;92;0;27;16;0;43;23;26;42;50;92;0;NA;5.3;4.7;89;44;89;0;27;17;0;44;22;23;40;49;89;0;NA;6.2;5.5;FALSE;82;45;82;0;28;17;0;45;18;19;35;47;82;0;NA;7.2;6.1;FALSE;86;45;86;0;29;16;0;45;20;21;34;52;86;0;NA;NA;8.3;6.4;FALSE;FALSE
"332";"4312A";NA;"ERCAC";"27";"829";17;10;17;0;0;10;0;10;7;0;7;10;0;17;NA;8.6;6.8;15;9;15;0;0;9;0;9;6;0;6;9;0;15;NA;9.5;8.1;15;9;15;0;0;9;0;9;6;0;6;9;0;15;NA;10.5;9.1;FALSE;13;8;13;0;0;8;0;8;5;0;5;8;0;13;NA;11.5;10.5;FALSE;13;8;13;0;0;8;0;8;5;0;5;8;0;13;NA;NA;12.5;11.5;FALSE;FALSE
"333";"6920Z";NA;"ERCAC";"27";"831";2;1;2;0;0;1;0;1;1;0;1;1;2;0;NA;6;6;2;1;2;0;0;1;0;1;1;0;1;1;2;0;NA;7;7;2;1;2;0;0;1;0;1;1;0;1;1;2;0;NA;8;8;FALSE;2;1;2;0;0;1;0;1;1;0;1;1;2;0;NA;9;9;FALSE;2;1;2;0;0;1;0;1;1;0;1;1;2;0;NA;NA;10;10;FALSE;FALSE
