"Lien_E";"Actifs";"Non_actifs";"Portabilite";"Produit1";"Produit2";"Produit3";"Tps_adh_E_au_L";"Code_ape";"Departement";"Regroup1";"Regroup4";"BASE";"OPTION_percent";"Nb_pers_2018";"Nb_fam_2018";"Nb_pers_2019";"Nb_fam_2019";"Nb_pers_2020";"Nb_fam_2020";"Nb_pers_2021";"Nb_fam_2021";"Nb_pers_2022";"Nb_fam_2022";"Tps_adh_moy_pers_ds_L";"Asspri";"Asspri_percent";"Conjoint";"Conjoint_percent";"Enfant";"Enfant_percent";"Femme";"Femme_percent";"Homme";"Homme_percent";"Respo_percent";"Non_respo_percent";"VIP";"Prod1_Ind2018";"Prod1_Ind2019";"Prod1_Ind2020";"Prod1_Ind2021";"Prod1_Ind2022";"Prod1_Ind2023";"Prod2_Ind2018";"Prod2_Ind2019";"Prod2_Ind2020";"Prod2_Ind2021";"Prod2_Ind2022";"Prod2_Ind2023";"Prod3_Ind2018";"Prod3_Ind2019";"Prod3_Ind2020";"Prod3_Ind2021";"Prod3_Ind2022";"Prod3_Ind2023";"Renégo2020";"Renégo2021";"Renégo2022"
"235";0;7;0;"620";NA;NA;9.5;"7021Z";NA;"ERCAC";"27";7;0;4;1;4;1;3;1;3;1;3;1;9.5;2;28.5714285714286;1;14.2857142857143;4;57.1428571428571;3;42.8571428571429;4;57.1428571428571;100;0;FALSE;0.15;0;0.2;0;0.02;0.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"236";0;24;0;"621";NA;NA;15.9;"8810C";NA;"ERCAC";"27";24;0;12;10;11;9;11;9;11;9;10;8;15.9;20;83.3333333333333;4;16.6666666666667;0;0;14;58.3333333333333;10;41.6666666666667;100;0;FALSE;0.03;0;0;0.04;0.04;0.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"237";0;186;0;"624";"622";"623";11.9;NA;NA;"ERCAC";"27";186;0;93;73;82;68;74;63;68;61;54;49;11.9;146;78.494623655914;40;21.505376344086;0;0;118;63.4408602150538;68;36.5591397849462;0;100;FALSE;0.025;0;0;0;0.03;0.1;0.025;0;0;0;0.03;0.1;0.025;0;0;0;0.03;0.1;FALSE;FALSE;FALSE
"238";0;12;0;"625";NA;NA;2.9;"2561Z";NA;"ERCAC";"5";12;0;4;2;4;2;4;2;4;2;3;1;5.3;6;50;3;25;3;25;6;50;6;50;100;0;FALSE;0.01;0;NA;NA;0.02;0.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"239";0;3;0;"626";NA;NA;11.9;"8621Z";NA;"ERCAC";"27";3;0;3;2;1;1;1;1;1;1;1;1;6.1;2;66.6666666666667;1;33.3333333333333;0;0;2;66.6666666666667;1;33.3333333333333;0;100;FALSE;0.01;0.05;0;0.04;0.02;0.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"24";96;40;5;"28";NA;NA;11.4;"4931Z";"11";"ER11";"3";0;100;112;53;101;49;108;50;106;49;99;45;50.5;64;45.3900709219858;38;26.9503546099291;39;27.6595744680851;74;52.4822695035461;67;47.5177304964539;100;0;TRUE;0.041;0;0.015;0.01;0.015;0.05;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"240";0;2;0;"628";NA;NA;13.9;"7112B";NA;"ERCAC";"27";2;0;1;1;1;1;1;1;1;1;1;1;13.9;2;100;0;0;0;0;0;0;2;100;0;100;FALSE;0;0;0;0;0.02;0.25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"241";0;49;0;"630";"629";NA;5.4;"6202A";NA;"ERCAC";"31";49;0;20;11;20;11;17;10;17;10;16;10;6.2;27;55.1020408163265;17;34.6938775510204;5;10.2040816326531;23;46.9387755102041;26;53.0612244897959;100;0;TRUE;0.025;0;NA;0;0.03;0;0.025;0;NA;0;0.03;0;NA;NA;NA;NA;NA;NA;TRUE;FALSE;FALSE
"242";0;24;0;"631";NA;NA;17.7;"6202A";NA;"ERCAC";"27";24;0;24;16;20;13;18;12;18;12;16;11;18.3;16;66.6666666666667;8;33.3333333333333;0;0;15;62.5;9;37.5;0;100;TRUE;0.1;0;0;0;0.02;0.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;FALSE;FALSE
"243";9;0;0;"638";"632";"634";13.9;"6202A";NA;"ERCAC";"27";9;0;9;7;8;6;5;4;4;3;4;3;13.9;6;66.6666666666667;3;33.3333333333333;0;0;3;33.3333333333333;6;66.6666666666667;33.3333333333333;66.6666666666667;TRUE;0.04;0;0;0;0.1;0.06;0.04;0;0;0;0.1;0.06;0.04;0;0;0;0.1;0.06;TRUE;FALSE;FALSE
"244";0;14;0;"633";NA;NA;18.2;"6202A";NA;"ERCAC";"27";14;0;14;9;14;9;14;9;13;9;11;8;17.5;9;64.2857142857143;5;35.7142857142857;0;0;7;50;7;50;0;100;TRUE;0.1;0.02;0;0;0.02;0.14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;FALSE;FALSE
"245";0;8;0;"635";"636";NA;5.4;"1812Z";NA;"ERCAC";"27";8;0;8;4;8;4;8;4;4;2;4;2;10;4;50;4;50;0;0;4;50;4;50;100;0;TRUE;0.025;0;0;0;0.02;0.08;0.025;0;0;0;0.02;0.08;NA;NA;NA;NA;NA;NA;TRUE;FALSE;FALSE
"246";0;30;0;"637";NA;NA;4.9;"1812Z";NA;"ERCAC";"27";30;0;21;13;22;14;21;14;21;14;20;14;9.3;18;60;8;26.6666666666667;4;13.3333333333333;14;46.6666666666667;16;53.3333333333333;100;0;TRUE;0.04;0;0;0;0.02;0.08;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;FALSE;FALSE
"247";476;31;36;"642";"644";"643";4.9;"8621Z";"75";"ERCAC";"32";543;0;136;101;137;105;130;98;135;92;134;89;14.5;368;67.7716390423573;29;5.34069981583794;146;26.8876611418048;414;76.2430939226519;129;23.7569060773481;100;0;FALSE;NA;0;0;0;0;0;NA;0;0;0;0;0;NA;0;0;0;0;0;FALSE;FALSE;FALSE
"248";0;2;0;"648";NA;NA;7.4;"4329B";NA;"ERCAC";"27";2;0;1;1;1;1;1;1;1;1;1;1;1.9;2;100;0;0;0;0;0;0;2;100;100;0;FALSE;NA;NA;NA;NA;NA;0.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"249";0;2;0;"651";NA;NA;14.9;"4621Z";NA;"ERCAC";"27";2;0;1;1;1;1;1;1;1;1;1;1;7;2;100;0;0;0;0;0;0;2;100;0;100;FALSE;0.025;0;0.01;0;0.03;0.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"25";1140;7;184;"2147";"107";"376";6.3;"4332A";"66";"ERCAC";"6";0;100;598;339;631;361;677;379;673;370;663;368;234.3;694;52.1412471825695;172;12.9226145755071;465;34.9361382419234;674;50.6386175807663;657;49.3613824192337;99.9248685199098;0.0751314800901578;TRUE;0;0;-0.02;0;0.03;0.15;0;0;-0.02;0;0.03;0.15;0;0;-0.02;0;0.03;0.15;FALSE;FALSE;FALSE
"250";0;32;0;"655";"789";"655";13.3;"8710B";NA;"ERCAC";"27";32;0;16;10;15;9;11;7;8;5;8;5;16.4;20;62.5;10;31.25;2;6.25;16;50;16;50;0;100;FALSE;0.04;0;0;0;0.04;0.16;0.04;0;0;0;0.04;0.16;0.04;0;0;0;0.04;0.16;FALSE;FALSE;FALSE
