"Lien_E";"Actifs";"Non_actifs";"Portabilite";"Produit1";"Produit2";"Produit3";"Annee_adh_E_au_L";"Tps_adh_E_au_L";"Code_ape";"Departement";"Regroup1";"Regroup4";"BASE_percent";"OPTION_percent";"Nb_pers_2018";"Nb_fam_2018";"Nb_pers_2019";"Nb_fam_2019";"Nb_pers_2020";"Nb_fam_2020";"Nb_pers_2021";"Nb_fam_2021";"Nb_pers_2022";"Nb_fam_2022";"Anciennete_pers_ds_L";"Tps_adh_moy_pers_ds_L";"Asspri";"Asspri_percent";"Conjoint";"Conjoint_percent";"Enfant";"Enfant_percent";"Femme";"Femme_percent";"Homme";"Homme_percent";"Respo";"Respo_percent";"Non_respo";"Non_respo_percent";"VIP";"Prod1_Ind2018";"Prod1_Ind2019";"Prod1_Ind2020";"Prod1_Ind2021";"Prod1_Ind2022";"Prod1_Ind2023";"Prod2_Ind2018";"Prod2_Ind2019";"Prod2_Ind2020";"Prod2_Ind2021";"Prod2_Ind2022";"Prod2_Ind2023";"Prod3_Ind2018";"Prod3_Ind2019";"Prod3_Ind2020";"Prod3_Ind2021";"Prod3_Ind2022";"Prod3_Ind2023";"Renégo2020";"Renégo2021";"Renégo2022";"Actifs.f";"Non_actifs.f";"Portabilite.f";"Annee_adh_E_au_L.f";"Region";"Anciennete_pers_ds_L.f";"Prod1_Ind2018.f";"Prod1_Ind2019.f";"Prod1_Ind2020.f";"Prod1_Ind2021.f";"Prod1_Ind2022.f";"Prod1_Ind2023.f";"Prod2_Ind2018.f";"Prod2_Ind2019.f";"Prod2_Ind2020.f";"Prod2_Ind2021.f";"Prod2_Ind2022.f";"Prod2_Ind2023.f";"Prod3_Ind2018.f";"Prod3_Ind2019.f";"Prod3_Ind2020.f";"Prod3_Ind2021.f";"Prod3_Ind2022.f";"Prod3_Ind2023.f"
"269";16;67;0;"693";"695";"694";2013;3560;NA;"47";"ERCAC";"37";100;0;36;27;34;25;31;23;28;23;21;17;2015;3254;64;77.1084337349398;17;20.4819277108434;2;2.40963855421687;31;0.15;0.05;NA;NA;0;0.08;0.15;0.05;NA;NA;0;0.08;0.15;0.05;NA;NA;0;0.08;1;0;0;0;0;0;0;0;FALSE;FALSE;FALSE;"(10,20]";"(20,100]";"(-0.1,10]";"(2.01e+03,2.02e+03]";"47";"(2.01e+03,2.02e+03]";NA;NA;NA;"(0.05,0.1]";"(0.1,0.2]";"(0,0.05]";NA;NA;NA;"(0.05,0.1]";NA;NA;NA;"(-0.05,0]";NA;NA;"(0.1,0.2]";NA
"27";0;117;0;"35";NA;NA;1991;11655;"2351Z";"11";"ER11";"2";100;0;117;71;113;68;113;68;106;65;101;63;2009;3164;71;60.6837606837607;43;36.7521367521368;3;2.56410256410256;51;0.01;0;0;0;0.02;0.08;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;FALSE;FALSE;FALSE;"(-0.1,10]";"(100,1e+03]";"(-0.1,10]";"(1.95e+03,2e+03]";"Occitanie";"(2e+03,2.01e+03]";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"(-0.05,0]";NA;NA;NA;NA
"270";11;0;0;"700";NA;NA;2010;4442;"1610A";"46";"ERCAC";"27";100;0;10;3;8;3;7;3;7;3;7;3;2012;4442;4;36.3636363636364;1;9.09090909090909;6;54.5454545454545;3;0.01;0;0;0;0.02;0.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;FALSE;FALSE;FALSE;"(10,20]";"(-0.1,10]";"(-0.1,10]";"(2e+03,2.01e+03]";"Occitanie";"(2.01e+03,2.02e+03]";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"(-0.05,0]";NA;NA;NA;NA
"271";362;15;41;"702";"701";NA;2011;4350;"4632A";"48";"ERCAC";"27";100;0;131;77;120;68;117;68;127;75;135;81;2016;273;227;54.3062200956938;35;8.37320574162679;156;37.3205741626794;187;0.05;0.02;NA;NA;NA;0.14;0.05;0.02;NA;NA;NA;0.14;NA;NA;NA;NA;NA;NA;0;1;1;0;0;0;0;0;FALSE;FALSE;FALSE;"(200,1e+03]";"(10,20]";"(10,100]";"(2.01e+03,2.02e+03]";"Occitanie";"(2.01e+03,2.02e+03]";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"(-0.05,0]";NA;NA;NA;NA
"272";0;14;0;"703";NA;NA;2013;3407;"4222Z";NA;"ERCAC";"27";100;0;7;5;7;5;7;5;6;4;6;4;2017;697;10;71.4285714285714;4;28.5714285714286;0;0;4;NA;NA;NA;NA;0.04;0.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;FALSE;FALSE;FALSE;"(-0.1,10]";"(10,20]";"(-0.1,10]";"(2.01e+03,2.02e+03]";NA;"(2.01e+03,2.02e+03]";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"(-0.05,0]";NA;NA;NA;NA
"273";0;8;0;"704";NA;NA;2017;1977;"7830Z";NA;"ERCAC";"27";100;0;5;4;4;4;4;4;4;4;4;4;2016;1885;7;87.5;1;12.5;0;0;5;NA;0;0;0;0.02;0.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;FALSE;FALSE;FALSE;"(-0.1,10]";"(-0.1,10]";"(-0.1,10]";"(2.01e+03,2.02e+03]";NA;"(2.01e+03,2.02e+03]";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"(-0.05,0]";NA;NA;NA;NA
"274";0;10;0;"705";NA;NA;2011;4230;"9499Z";NA;"ERCAC";"27";100;0;5;4;5;4;5;4;3;3;3;3;2012;3894;8;80;2;20;0;0;8;0.03;0;0;0;0.02;0.25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;FALSE;FALSE;FALSE;"(-0.1,10]";"(-0.1,10]";"(-0.1,10]";"(2.01e+03,2.02e+03]";NA;"(2.01e+03,2.02e+03]";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"(-0.05,0]";NA;NA;NA;NA
"275";796;3;122;"707";NA;NA;2016;2524;"7112B";"31";"ERCAC";"38";100;0;300;158;317;156;308;138;293;124;266;116;2017;914;445;48.3170466883822;164;17.8067318132465;312;33.8762214983713;394;0.02;0;0;0;0.03;0.14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;FALSE;FALSE;FALSE;"(200,1e+03]";"(-0.1,10]";"(100,1e+03]";"(2.01e+03,2.02e+03]";"Occitanie";"(2.01e+03,2.02e+03]";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"(-0.05,0]";NA;NA;NA;NA
"276";0;2;0;"708";NA;NA;2018;1793;"2511Z";NA;"ERCAC";"27";100;0;1;1;1;1;1;1;1;1;0;0;2014;1249;2;100;0;0;0;0;2;NA;0.05;0.03;0.04;0.02;0.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;FALSE;FALSE;FALSE;"(-0.1,10]";"(-0.1,10]";"(-0.1,10]";"(2.01e+03,2.02e+03]";NA;"(2.01e+03,2.02e+03]";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"(-0.05,0]";NA;NA;NA;NA
"277";42;2;12;"714";NA;NA;2013;3529;"4662Z";"49";"ERCAC";"27";100;0;18;7;15;5;15;5;18;7;15;6;2018;3529;21;37.5;11;19.6428571428571;24;42.8571428571429;28;0;0;0;0;0.02;0.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;FALSE;FALSE;FALSE;"(20,50]";"(-0.1,10]";"(10,100]";"(2.01e+03,2.02e+03]";"Nouvelle-Aquitaine";"(2.01e+03,2.02e+03]";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"(-0.05,0]";NA;NA;NA;NA
