"Lien_E";"Code_ape";"Departement";"Regroup1";"Regroup4";"Produit_max";"Nb_pers_2018";"Nb_fam_2018";"Base_2018";"Option_2018_p";"Actifs_2018_p";"Non_actifs_2018_p";"Portabilite_2018_p";"Asspri_2018_p";"Conjoint_2018_p";"Enfants_2018_p";"Femmes_2018_p";"Hommes_2018_p";"Respo_2018_p";"Non_respo_2018_p";"Index_2018";"Tps_adh_E_par_L_2018";"Tps_adh_P_par_L_2018";"Nb_pers_2019";"Nb_fam_2019";"Base_2019";"Option_2019_p";"Actifs_2019_p";"Non_actifs_2019_p";"Portabilite_2019_p";"Asspri_2019_p";"Conjoint_2019_p";"Enfants_2019_p";"Femmes_2019_p";"Hommes_2019_p";"Respo_2019_p";"Non_respo_2019_p";"Index_2019";"Tps_adh_E_par_L_2019";"Tps_adh_P_par_L_2019";"Nb_pers_2020";"Nb_fam_2020";"Base_2020";"Option_2020_p";"Actifs_2020_p";"Non_actifs_2020_p";"Portabilite_2020_p";"Asspri_2020_p";"Conjoint_2020_p";"Enfants_2020_p";"Femmes_2020_p";"Hommes_2020_p";"Respo_2020_p";"Non_respo_2020_p";"Index_2020";"Tps_adh_E_par_L_2020";"Tps_adh_P_par_L_2020";"Nego_2020";"Nb_pers_2021";"Nb_fam_2021";"Base_2021";"Option_2021_p";"Actifs_2021_p";"Non_actifs_2021_p";"Portabilite_2021_p";"Asspri_2021_p";"Conjoint_2021_p";"Enfants_2021_p";"Femmes_2021_p";"Hommes_2021_p";"Respo_2021_p";"Non_respo_2021_p";"Index_2021";"Tps_adh_E_par_L_2021";"Tps_adh_P_par_L_2021";"Nego_2021";"Nb_pers_2022";"Nb_fam_2022";"Base_2022";"Option_2022_p";"Actifs_2022_p";"Non_actifs_2022_p";"Portabilite_2022_p";"Asspri_2022_p";"Conjoint_2022_p";"Enfants_2022_p";"Femmes_2022_p";"Hommes_2022_p";"Respo_2022_p";"Non_respo_2022_p";"Index_2022";"Index_2023";"Tps_adh_E_par_L_2022";"Tps_adh_P_par_L_2022";"Nego_2022";"VIP"
"1";"2932Z";NA;"ERCAC";"1";"1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE;287;121;287;0;96.69;0;3.31;42.16;20.21;37.63;42.51;57.49;100;0;NA;0.06;1;1;FALSE;TRUE
"10";"8730A";"66";"ER66";"3";"10";22;11;22;0;100;0;0;50;22.73;27.27;59.09;40.91;0;100;0.041;9.9;8.2;17;8;17;0;100;0;0;47.06;17.65;35.29;58.82;41.18;0;100;0;11.1;9.9;9;5;9;0;100;0;0;55.56;22.22;22.22;66.67;33.33;0;100;0.035;11.9;10.7;FALSE;8;4;8;0;100;0;0;50;25;25;62.5;37.5;0;100;0.03;13.1;12.1;FALSE;7;3;7;0;100;0;0;42.86;28.57;28.57;57.14;42.86;0;100;0.035;0.05;14.5;13.8;FALSE;FALSE
"100";"4711D";"66";"ER66";"17";"332";13;6;13;0;100;0;0;46.15;7.69;46.15;53.85;46.15;100;0;0.025;24.1;8.9;13;6;13;0;100;0;0;46.15;7.69;46.15;53.85;46.15;100;0;0;25.1;9.9;13;6;13;0;100;0;0;46.15;7.69;46.15;53.85;46.15;100;0;0;26.1;10.9;FALSE;13;6;13;0;100;0;0;46.15;7.69;46.15;53.85;46.15;100;0;0;27.1;11.9;FALSE;11;5;11;0;100;0;0;45.45;9.09;45.45;54.55;45.45;100;0;0.02;0.25;28.1;13;FALSE;FALSE
"1000";"8899B";NA;"ER11";"5";"2800";13;8;13;0;0;100;0;61.54;38.46;0;61.54;38.46;100;0;NA;0;3;13;8;13;0;0;100;0;61.54;38.46;0;61.54;38.46;100;0;NA;1;4;13;8;13;0;0;100;0;61.54;38.46;0;61.54;38.46;100;0;0;2;5;FALSE;13;8;13;0;0;100;0;61.54;38.46;0;61.54;38.46;100;0;0;3;6;FALSE;11;7;11;0;0;100;0;63.64;36.36;0;63.64;36.36;100;0;0.02;0.08;4;7;TRUE;FALSE
"1001";NA;NA;"ER11";"2";"2805";9;6;9;0;0;100;0;55.56;33.33;11.11;55.56;44.44;100;0;0.04;3;2.7;9;6;9;0;0;100;0;66.67;22.22;11.11;66.67;33.33;100;0;0.02;4;3.3;7;6;7;0;0;100;0;85.71;14.29;0;57.14;42.86;100;0;0;5;4.2;FALSE;6;5;6;0;0;100;0;83.33;16.67;0;66.67;33.33;100;0;0.01;6;5.1;FALSE;6;5;6;0;0;100;0;83.33;16.67;0;66.67;33.33;100;0;0.02;0.08;7;6.1;FALSE;FALSE
"1002";NA;NA;"ER11";"5";"2828";4;2;4;0;100;0;0;50;0;50;75;25;100;0;NA;1.8;2.1;3;1;3;0;100;0;0;33.33;0;66.67;66.67;33.33;100;0;NA;2.8;2.8;1;1;1;0;100;0;0;100;0;0;100;0;100;0;NA;3.8;0.1;FALSE;3;2;3;0;50;0;50;66.67;0;33.33;33.33;66.67;100;0;NA;0.7;0.6;FALSE;4;3;4;0;33.33;0;66.67;75;0;25;50;50;100;0;NA;0.25;1.7;1.5;FALSE;FALSE
"1003";"742C";"19";"ERCAC";"125";"2883";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92;56;92;0;92.73;0;7.27;59.78;6.52;33.7;40.22;59.78;100;0;NA;-2;0.9;90;56;90;0;92.59;0;7.41;60;4.44;35.56;43.33;56.67;100;0;0;-1;1.6;FALSE;89;59;89;0;91.23;0;8.77;64.04;4.49;31.46;42.7;57.3;100;0;0.04;0;2.5;FALSE;89;57;89;0;98.18;0;1.82;61.8;3.37;34.83;42.7;57.3;100;0;0.015;0.015;1;3;FALSE;FALSE
"1004";"4511Z";"12";"ERCAC";"126";"2887";540;333;540;0;84.36;10.74;4.91;60.37;14.26;25.37;37.04;62.96;100;0;0.04;4;2.9;556;348;556;0;86.51;9.38;4.11;61.33;13.67;25;37.77;62.23;100;0;0.02;5;3.4;599;384;599;0;86.77;8.99;4.23;63.11;13.52;23.37;37.23;62.77;100;0;0.01;6;3.8;TRUE;612;385;612;0;87.93;8.4;3.67;62.25;14.22;23.53;36.6;63.4;100;0;0;7;4.2;FALSE;582;370;582;0;89.53;7.99;2.48;62.37;14.09;23.54;37.63;62.37;100;0;0.03;0.14;8;4.9;FALSE;TRUE
"1005";"7010Z";NA;"ER11";"127";"2897";3;2;3;0;0;100;0;66.67;33.33;0;33.33;66.67;100;0;NA;1.2;1.7;3;2;3;0;0;100;0;66.67;33.33;0;33.33;66.67;100;0;NA;2.2;2.7;3;2;3;0;0;100;0;66.67;33.33;0;33.33;66.67;100;0;NA;3.3;3.7;FALSE;3;2;3;0;0;100;0;66.67;33.33;0;33.33;66.67;100;0;NA;4.3;4.7;FALSE;3;2;3;0;0;100;0;66.67;33.33;0;33.33;66.67;100;0;NA;NA;5.3;5.7;FALSE;FALSE
"1006";"6420Z";NA;"ER11";"128";"2906";8;4;8;0;0;100;0;50;25;25;50;50;100;0;NA;3.8;3.3;8;4;8;0;0;100;0;50;25;25;50;50;100;0;NA;4.8;4.3;8;4;8;0;0;100;0;50;25;25;50;50;100;0;NA;5.8;5.3;FALSE;4;3;4;0;0;100;0;75;25;0;50;50;100;0;NA;6.8;6.2;FALSE;3;2;3;0;0;100;0;66.67;33.33;0;66.67;33.33;100;0;NA;NA;7.8;7.1;FALSE;FALSE
"1007";NA;NA;"ERCAC";"5";"2922";11;7;11;0;0;100;0;63.64;36.36;0;54.55;45.45;100;0;0.04;3;2.9;11;7;11;0;0;100;0;63.64;36.36;0;54.55;45.45;100;0;0.1;4;3.9;11;7;11;0;0;100;0;63.64;36.36;0;54.55;45.45;100;0;0;5;4.9;FALSE;11;7;11;0;0;100;0;63.64;36.36;0;54.55;45.45;100;0;0;6;5.9;FALSE;11;7;11;0;0;100;0;63.64;36.36;0;54.55;45.45;100;0;0.02;0.08;7;6.9;FALSE;FALSE
"1008";NA;NA;"ERCAC";"5";"2924";1;1;1;0;0;100;0;100;0;0;100;0;100;0;NA;3;3;1;1;1;0;0;100;0;100;0;0;100;0;100;0;NA;4;4;1;1;1;0;0;100;0;100;0;0;100;0;100;0;NA;5;5;FALSE;1;1;1;0;0;100;0;100;0;0;100;0;100;0;NA;6;6;FALSE;1;1;1;0;0;100;0;100;0;0;100;0;100;0;NA;NA;7;7;FALSE;FALSE
"101";NA;NA;"ER66";"3";"333";2;1;2;0;0;100;0;50;50;0;50;50;100;0;NA;11;11.2;2;1;2;0;0;100;0;50;50;0;50;50;100;0;NA;12;12.2;2;1;2;0;0;100;0;50;50;0;50;50;100;0;NA;13;13.2;FALSE;2;1;2;0;0;100;0;50;50;0;50;50;100;0;NA;14;14.2;FALSE;2;1;2;0;0;100;0;50;50;0;50;50;100;0;NA;NA;15;15.2;FALSE;FALSE
"105";NA;"66";"ER66";"17";"337";1;1;1;0;0;100;0;100;0;0;100;0;100;0;NA;14.3;14.2;1;1;1;0;0;100;0;100;0;0;100;0;100;0;NA;15.3;15.2;1;1;1;0;0;100;0;100;0;0;100;0;100;0;NA;16.3;16.2;FALSE;1;1;1;0;0;100;0;100;0;0;100;0;100;0;NA;17.3;17.2;FALSE;1;1;1;0;0;100;0;100;0;0;100;0;100;0;NA;NA;18.3;18.2;FALSE;FALSE
"106";"3103Z";NA;"ERCAC";"27";"750";18;13;18;0;0;100;0;72.22;27.78;0;33.33;66.67;100;0;0.04;3.2;5.1;13;10;13;0;0;100;0;76.92;23.08;0;23.08;76.92;100;0;NA;5;5.8;14;10;14;0;0;100;0;71.43;28.57;0;28.57;71.43;100;0;NA;5.6;5.7;FALSE;14;10;14;0;0;100;0;64.29;35.71;0;28.57;71.43;100;0;NA;6.2;4.1;FALSE;12;9;12;0;0;100;0;66.67;33.33;0;25;75;100;0;NA;0.1;7.1;5.2;FALSE;FALSE
"107";"7711A";NA;"ER66";"3";"340";2;1;2;0;0;100;0;50;50;0;50;50;100;0;NA;12.5;12.5;2;1;2;0;0;100;0;50;50;0;50;50;100;0;NA;13.5;13.5;2;1;2;0;0;100;0;50;50;0;50;50;100;0;NA;14.5;14.5;FALSE;2;1;2;0;0;100;0;50;50;0;50;50;100;0;NA;15.5;15.5;FALSE;2;1;2;0;0;100;0;50;50;0;50;50;100;0;NA;NA;16.5;16.5;FALSE;FALSE
"108";"552F";"66";"ER66";"17";"341";1;1;1;0;100;0;0;100;0;0;0;100;100;0;NA;16.6;16.6;1;1;1;0;100;0;0;100;0;0;0;100;100;0;NA;17.6;17.6;1;1;1;0;100;0;0;100;0;0;0;100;100;0;NA;18.6;18.6;FALSE;1;1;1;0;100;0;0;100;0;0;0;100;100;0;NA;19.6;19.6;FALSE;1;1;1;0;100;0;0;100;0;0;0;100;100;0;NA;NA;20.6;20.6;FALSE;FALSE
"109";"8899B";"15";"ERCAC";"19";"641";3751;2321;2714;27.65;82.76;8.25;8.99;60.46;8.53;31.01;60.86;39.14;100;0;0;2.9;2.3;4627;2913;3498;24.4;86.57;7.3;6.14;61.62;7.72;30.67;62.33;37.67;100;0;0;3.8;2.7;4823;3058;3625;24.84;88.25;7.06;4.69;62.28;7.8;29.92;62.89;37.11;100;0;0;4.8;3.4;FALSE;5116;3242;3834;25.06;89.73;6.48;3.79;62.41;7.82;29.77;63.21;36.79;100;0;0;5.8;3.7;FALSE;5143;3263;3813;25.86;91.95;6.03;2.02;62.57;7.76;29.67;62.67;37.33;100;0;0;0;6.8;4.1;FALSE;FALSE
"11";NA;"11";"ER11";"3";"11";2;1;2;0;0;100;0;50;50;0;50;50;100;0;NA;10;12;2;1;2;0;0;100;0;50;50;0;50;50;100;0;NA;11;13;2;1;2;0;0;100;0;50;50;0;50;50;100;0;NA;12;14;FALSE;2;1;2;0;0;100;0;50;50;0;50;50;100;0;NA;13;15;FALSE;2;1;2;0;0;100;0;50;50;0;50;50;100;0;NA;NA;14;16;FALSE;FALSE
"110";"9200Z";"66";"ER66";"17";"345";16;9;16;0;100;0;0;56.25;31.25;12.5;62.5;37.5;100;0;NA;17;15.8;15;8;15;0;100;0;0;53.33;33.33;13.33;60;40;100;0;NA;18;16.9;15;8;15;0;100;0;0;53.33;33.33;13.33;60;40;100;0;NA;19;17.9;FALSE;14;7;14;0;100;0;0;50;35.71;14.29;64.29;35.71;100;0;NA;20;18.8;FALSE;14;7;14;0;100;0;0;50;35.71;14.29;64.29;35.71;100;0;NA;NA;21;19.8;FALSE;FALSE
"111";NA;"51";"ER66";"3";"346";3;2;3;0;50;50;0;66.67;33.33;0;66.67;33.33;100;0;NA;15.8;10.5;4;3;4;0;66.67;33.33;0;75;25;0;50;50;100;0;NA;16.8;8.9;3;2;3;0;50;50;0;66.67;33.33;0;66.67;33.33;100;0;NA;17.8;12.5;FALSE;3;2;3;0;50;50;0;66.67;33.33;0;66.67;33.33;100;0;NA;18.8;13.5;FALSE;3;2;3;0;50;50;0;66.67;33.33;0;66.67;33.33;100;0;NA;NA;19.8;14.5;FALSE;FALSE
"112";NA;"51";"ER66";"3";"347";2;1;0;100;100;0;0;50;50;0;50;50;100;0;NA;15.8;13.3;2;1;0;100;100;0;0;50;50;0;50;50;100;0;NA;16.8;14.3;2;1;0;100;100;0;0;50;50;0;50;50;100;0;NA;17.8;15.3;FALSE;2;1;0;100;100;0;0;50;50;0;50;50;100;0;NA;18.8;16.3;FALSE;2;1;0;100;100;0;0;50;50;0;50;50;100;0;NA;NA;19.8;17.3;FALSE;FALSE
"113";"3312Z";"66";"ER66";"3";"348";4;2;4;0;50;50;0;50;25;25;25;75;100;0;NA;15;9.4;4;2;4;0;50;50;0;50;25;25;25;75;100;0;NA;16;10.4;4;2;4;0;50;50;0;50;25;25;25;75;100;0;NA;17;11.4;FALSE;4;2;4;0;50;50;0;50;25;25;25;75;100;0;NA;18;12.4;FALSE;4;2;4;0;50;50;0;50;25;25;25;75;100;0;NA;NA;19;13.4;FALSE;FALSE
"114";"8730A";"66";"ER66";"17";"349";7;3;7;0;100;0;0;42.86;28.57;28.57;57.14;42.86;100;0;NA;14.8;12.5;7;3;7;0;100;0;0;42.86;28.57;28.57;57.14;42.86;100;0;NA;15.8;13.5;7;3;7;0;100;0;0;42.86;28.57;28.57;57.14;42.86;100;0;NA;16.8;14.5;FALSE;4;3;4;0;100;0;0;75;25;0;75;25;100;0;NA;17.8;16.5;FALSE;4;3;4;0;100;0;0;75;25;0;75;25;100;0;NA;NA;18.8;17.5;FALSE;FALSE
"115";"4631Z";"66";"ER66";"17";"350";4;2;4;0;100;0;0;50;25;25;75;25;100;0;NA;14.8;12.9;4;2;4;0;100;0;0;50;25;25;75;25;100;0;NA;15.8;13.9;4;2;4;0;100;0;0;50;25;25;75;25;100;0;NA;16.8;14.9;FALSE;2;1;2;0;100;0;0;50;50;0;50;50;100;0;NA;17.8;16.9;FALSE;2;1;2;0;100;0;0;50;50;0;50;50;100;0;NA;NA;18.8;17.9;FALSE;FALSE
"116";"7022Z";"66";"ER66";"17";"351";3;3;3;0;100;0;0;100;0;0;33.33;66.67;100;0;NA;14.5;13.8;3;3;3;0;100;0;0;100;0;0;33.33;66.67;100;0;NA;15.5;14.8;3;3;3;0;100;0;0;100;0;0;33.33;66.67;100;0;NA;16.5;15.8;FALSE;3;3;3;0;100;0;0;100;0;0;33.33;66.67;100;0;NA;17.5;16.8;FALSE;3;3;3;0;100;0;0;100;0;0;33.33;66.67;100;0;NA;NA;18.5;17.8;FALSE;FALSE
"117";NA;"66";"ER66";"17";"353";60;27;60;0;100;0;0;45;18.33;36.67;43.33;56.67;100;0;0.01;14.3;10.2;47;23;47;0;100;0;0;48.94;17.02;34.04;42.55;57.45;100;0;0;15.3;11.3;40;21;40;0;100;0;0;52.5;17.5;30;40;60;100;0;0;16.3;12.6;FALSE;36;20;36;0;100;0;0;55.56;16.67;27.78;38.89;61.11;100;0;0;17.3;13.7;FALSE;27;17;27;0;100;0;0;62.96;18.52;18.52;37.04;62.96;100;0;NA;0.08;18.3;15.6;FALSE;FALSE
"118";"930D";"66";"ER66";"17";"356";51;34;51;0;100;0;0;66.67;7.84;25.49;66.67;33.33;100;0;0.01;19;12.9;35;22;35;0;100;0;0;62.86;8.57;28.57;74.29;25.71;100;0;0;20;14.3;28;18;28;0;100;0;0;64.29;10.71;25;75;25;100;0;NA;21;15.6;FALSE;24;16;24;0;100;0;0;66.67;12.5;20.83;70.83;29.17;100;0;NA;22;16.9;FALSE;19;13;19;0;100;0;0;68.42;15.79;15.79;68.42;31.58;100;0;NA;0.08;23;18;FALSE;FALSE
"119";"751A";NA;"ER66";"17";"358";3;2;3;0;0;100;0;66.67;33.33;0;33.33;66.67;0;100;NA;119.1;15.3;3;2;3;0;0;100;0;66.67;33.33;0;33.33;66.67;0;100;NA;120.1;16.3;3;2;3;0;0;100;0;66.67;33.33;0;33.33;66.67;0;100;NA;121.1;17.3;FALSE;3;2;3;0;0;100;0;66.67;33.33;0;33.33;66.67;0;100;NA;122.1;18.3;FALSE;3;2;3;0;0;100;0;66.67;33.33;0;33.33;66.67;0;100;NA;NA;123.1;19.3;FALSE;FALSE
"12";"6920Z";"11";"ER11";"3";"12";9;5;0;100;80;20;0;55.56;22.22;22.22;55.56;44.44;100;0;NA;3.8;7;9;5;0;100;80;20;0;55.56;22.22;22.22;55.56;44.44;100;0;NA;4.8;8;9;5;0;100;80;20;0;55.56;22.22;22.22;55.56;44.44;100;0;NA;5.8;9;FALSE;9;5;0;100;80;20;0;55.56;22.22;22.22;55.56;44.44;100;0;NA;6.8;10;FALSE;9;5;0;100;80;20;0;55.56;22.22;22.22;55.56;44.44;100;0;NA;NA;7.8;11;FALSE;FALSE
"120";"911A";"66";"ER66";"17";"362";12;7;12;0;100;0;0;58.33;16.67;25;41.67;58.33;100;0;NA;19;15.4;11;6;11;0;100;0;0;54.55;18.18;27.27;36.36;63.64;100;0;NA;20;17.7;11;6;11;0;100;0;0;54.55;18.18;27.27;36.36;63.64;100;0;NA;21;17;FALSE;11;6;11;0;100;0;0;54.55;18.18;27.27;36.36;63.64;100;0;NA;22;18;FALSE;11;6;11;0;100;0;0;54.55;18.18;27.27;36.36;63.64;100;0;NA;NA;23;19;FALSE;FALSE
"121";"4631Z";"66";"ER66";"17";"364";5;4;5;0;0;100;0;80;20;0;20;80;0;100;NA;119.1;15.4;4;3;4;0;0;100;0;75;25;0;25;75;0;100;NA;120.1;15.8;4;3;4;0;0;100;0;75;25;0;25;75;0;100;NA;121.1;16.8;FALSE;2;2;2;0;0;100;0;100;0;0;50;50;0;100;NA;122.1;17.1;FALSE;1;1;1;0;0;100;0;100;0;0;0;100;0;100;NA;NA;123.1;14.8;FALSE;FALSE
"122";"8610Z";NA;"ER66";"17";"367";3;3;3;0;0;100;0;100;0;0;66.67;33.33;100;0;NA;119.1;16.4;3;3;3;0;0;100;0;100;0;0;66.67;33.33;100;0;NA;120.1;17.4;3;3;3;0;0;100;0;100;0;0;66.67;33.33;100;0;NA;121.1;18.4;FALSE;4;3;4;0;0;100;0;75;25;0;75;25;100;0;NA;122.1;5.9;FALSE;3;2;3;0;0;100;0;66.67;33.33;0;66.67;33.33;100;0;NA;NA;123.1;8.5;FALSE;FALSE
"125";NA;NA;"ER66";"17";"371";3;3;3;0;0;100;0;66.67;33.33;0;33.33;66.67;0;100;NA;22;16.4;2;2;2;0;0;100;0;100;0;0;50;50;0;100;NA;23;16.9;2;2;2;0;0;100;0;100;0;0;50;50;0;100;NA;24;17.9;FALSE;5;4;5;0;0;100;0;80;20;0;60;40;0;100;NA;25;8.2;FALSE;4;3;4;0;0;100;0;75;25;0;50;50;0;100;NA;NA;26;10.9;FALSE;FALSE
"126";NA;NA;"ER66";"17";"373";51;38;51;0;0;100;0;74.51;21.57;3.92;72.55;27.45;9.8;90.2;0.04;11;10.1;43;34;43;0;0;100;0;79.07;16.28;4.65;76.74;23.26;11.63;88.37;0.02;12;10.9;42;33;42;0;0;100;0;78.57;16.67;4.76;76.19;23.81;11.9;88.1;0;13;11.9;FALSE;33;26;33;0;0;100;0;78.79;15.15;6.06;75.76;24.24;15.15;84.85;NA;14;12.6;FALSE;31;25;31;0;0;100;0;80.65;12.9;6.45;77.42;22.58;16.13;83.87;NA;0.08;15;13.5;FALSE;FALSE
"127";NA;NA;"ER66";"3";"377";45;32;45;0;0;100;0;71.11;28.89;0;62.22;37.78;100;0;0.05;23;13.5;38;26;38;0;0;100;0;68.42;31.58;0;63.16;36.84;100;0;NA;24;14.6;35;24;35;0;0;100;0;68.57;31.43;0;62.86;37.14;100;0;NA;25;15.8;FALSE;34;24;34;0;0;100;0;70.59;29.41;0;64.71;35.29;100;0;NA;26;16.8;FALSE;33;23;33;0;0;100;0;69.7;30.3;0;66.67;33.33;100;0;NA;0.06;27;17.8;FALSE;FALSE
"128";NA;"11";"ER66";"17";"378";22;19;22;0;21.05;78.95;0;86.36;9.09;4.55;63.64;36.36;100;0;NA;119.1;16.8;20;17;20;0;17.65;82.35;0;85;10;5;65;35;100;0;NA;120.1;17.7;17;16;17;0;12.5;87.5;0;94.12;5.88;0;70.59;29.41;100;0;NA;121.1;18.5;FALSE;16;15;16;0;13.33;86.67;0;93.75;6.25;0;68.75;31.25;100;0;NA;122.1;20;FALSE;14;13;14;0;15.38;84.62;0;92.86;7.14;0;78.57;21.43;100;0;NA;NA;123.1;21;FALSE;FALSE
"129";NA;NA;"ER66";"17";"379";11;8;11;0;0;100;0;72.73;27.27;0;54.55;45.45;100;0;NA;119.1;14.7;10;8;10;0;0;100;0;80;20;0;50;50;100;0;NA;120.1;15.5;8;6;8;0;0;100;0;75;25;0;50;50;100;0;NA;121.1;15.9;FALSE;8;6;8;0;0;100;0;75;25;0;50;50;100;0;NA;122.1;16.9;FALSE;8;6;8;0;0;100;0;75;25;0;50;50;100;0;NA;NA;123.1;17.9;FALSE;FALSE
"13";"2932Z";"12";"ERCAC";"4";"13";2711;1953;0;100;29.79;66.87;3.34;71.82;21.32;6.86;50.02;49.98;100;0;0;7.1;4.7;2593;1862;0;100;28.54;68.23;3.23;71.62;21.75;6.63;50.79;49.21;100;0;0;7.9;4.5;2438;1786;0;100;27.47;69.96;2.58;73.17;21.7;5.13;50.82;49.18;97.29;2.71;0;8.5;4.4;FALSE;2390;1758;0;100;28.08;69.82;2.11;73.47;21.51;5.02;50.79;49.21;94.23;5.77;0;9.3;5.1;FALSE;2143;1594;0;100;26.71;71.59;1.7;74.24;21.79;3.97;51.89;48.11;94.68;5.32;0;0;10.3;6.1;FALSE;FALSE
"132";"4631Z";"66";"ER66";"17";"385";3;3;3;0;100;0;0;100;0;0;66.67;33.33;100;0;NA;119.1;17;3;3;3;0;100;0;0;100;0;0;66.67;33.33;100;0;NA;120.1;18;3;3;3;0;100;0;0;100;0;0;66.67;33.33;100;0;NA;121.1;19;FALSE;3;3;3;0;100;0;0;100;0;0;66.67;33.33;100;0;NA;122.1;20;FALSE;3;3;3;0;100;0;0;100;0;0;66.67;33.33;100;0;NA;NA;123.1;21;FALSE;FALSE
"133";NA;NA;"ER66";"3";"386";16;11;16;0;0;100;0;68.75;31.25;0;50;50;100;0;NA;8.7;8.7;12;9;12;0;0;100;0;75;25;0;50;50;100;0;NA;9.7;9.7;12;9;12;0;0;100;0;75;25;0;50;50;100;0;NA;10.7;10.7;FALSE;10;8;10;0;0;100;0;80;20;0;50;50;100;0;NA;11.7;11.7;FALSE;10;8;10;0;0;100;0;80;20;0;50;50;100;0;NA;NA;12.7;12.7;FALSE;FALSE
"134";"4511Z";"66";"ER66";"17";"388";5;3;5;0;100;0;0;60;40;0;60;40;100;0;NA;119.1;17.1;5;3;5;0;100;0;0;60;40;0;60;40;100;0;NA;120.1;18.1;5;3;5;0;100;0;0;60;40;0;60;40;100;0;NA;121.1;19.1;FALSE;5;3;5;0;100;0;0;60;40;0;60;40;100;0;NA;122.1;20.1;FALSE;5;3;5;0;100;0;0;60;40;0;60;40;100;0;NA;NA;123.1;21.1;FALSE;FALSE
"135";"9499Z";"66";"ER66";"17";"391";67;40;67;0;100;0;0;58.21;20.9;20.9;58.21;41.79;100;0;0.03;17;10.3;63;39;63;0;97.44;2.56;0;61.9;20.63;17.46;57.14;42.86;100;0;NA;18;11.3;61;38;61;0;97.37;2.63;0;62.3;19.67;18.03;57.38;42.62;100;0;0;19;12.3;FALSE;59;37;59;0;100;0;0;62.71;20.34;16.95;55.93;44.07;100;0;0;20;13.5;FALSE;59;37;59;0;100;0;0;62.71;20.34;16.95;55.93;44.07;100;0;0.02;0.1;21;14.5;FALSE;FALSE
"137";"1082Z";"66";"ER66";"17";"394";6;3;6;0;100;0;0;50;16.67;33.33;66.67;33.33;100;0;NA;14;13.3;6;3;6;0;100;0;0;50;16.67;33.33;66.67;33.33;100;0;NA;15;14.3;6;3;6;0;100;0;0;50;16.67;33.33;66.67;33.33;100;0;NA;16;15.3;FALSE;6;3;6;0;100;0;0;50;16.67;33.33;66.67;33.33;100;0;NA;17;16.3;FALSE;6;3;6;0;100;0;0;50;16.67;33.33;66.67;33.33;100;0;NA;NA;18;17.3;FALSE;FALSE
"138";NA;NA;"ER66";"3";"395";2;1;2;0;0;100;0;50;50;0;50;50;100;0;NA;14;6.8;2;1;2;0;0;100;0;50;50;0;50;50;100;0;NA;15;7.8;2;1;2;0;0;100;0;50;50;0;50;50;100;0;NA;16;8.8;FALSE;2;1;2;0;0;100;0;50;50;0;50;50;100;0;NA;17;9.8;FALSE;2;1;2;0;0;100;0;50;50;0;50;50;100;0;NA;NA;18;10.8;FALSE;FALSE
"139";NA;NA;"ER66";"3";"397";17;13;17;0;0;100;0;76.47;23.53;0;52.94;47.06;100;0;NA;10.8;10.6;16;12;16;0;0;100;0;75;25;0;56.25;43.75;100;0;NA;11.8;11.6;16;12;16;0;0;100;0;75;25;0;56.25;43.75;100;0;NA;12.8;12.6;FALSE;13;10;13;0;0;100;0;76.92;23.08;0;61.54;38.46;100;0;NA;13.8;13.6;FALSE;13;10;13;0;0;100;0;76.92;23.08;0;61.54;38.46;100;0;NA;NA;14.8;14.6;FALSE;FALSE
"14";"4334Z";"11";"ER11";"2";"14";39;20;0;100;65;30;5;51.28;17.95;30.77;53.85;46.15;0;100;NA;7.7;6.7;32;16;0;100;62.5;31.25;6.25;50;21.88;28.12;50;50;0;100;NA;8.6;7.9;30;15;0;100;60;33.33;6.67;50;23.33;26.67;53.33;46.67;0;100;NA;9.7;8.6;FALSE;30;15;0;100;60;33.33;6.67;50;20;30;56.67;43.33;0;100;NA;10.3;9.1;FALSE;24;13;0;100;66.67;33.33;0;50;20.83;29.17;54.17;45.83;0;100;NA;NA;11.2;9.2;FALSE;FALSE
"140";NA;"66";"ER66";"17";"400";7;4;7;0;100;0;0;57.14;14.29;28.57;42.86;57.14;100;0;NA;14;12.7;6;3;6;0;100;0;0;50;16.67;33.33;50;50;100;0;NA;15;13.5;5;3;5;0;100;0;0;60;20;20;60;40;100;0;NA;16;14.5;FALSE;5;3;5;0;100;0;0;60;20;20;60;40;100;0;NA;17;15.5;FALSE;5;3;5;0;100;0;0;60;20;20;60;40;100;0;NA;NA;18;16.5;FALSE;FALSE
"141";"853C";"66";"ER66";"17";"401";17;17;17;0;100;0;0;100;0;0;47.06;52.94;100;0;NA;14;4.1;26;23;26;0;100;0;0;88.46;3.85;7.69;46.15;53.85;100;0;NA;15;3.5;22;19;22;0;100;0;0;86.36;4.55;9.09;50;50;100;0;NA;16;4.2;FALSE;20;17;20;0;100;0;0;85;5;10;55;45;100;0;NA;17;4.8;FALSE;12;12;12;0;100;0;0;100;0;0;41.67;58.33;100;0;NA;NA;18;5.9;FALSE;FALSE
