"Lien_E";"Code_ape";"Departement";"Regroup1";"Regroup4";"Produit_max";"Nb_pers_2018";"Nb_fam_2018";"Base_2018";"Option_2018_p";"Actifs_2018_p";"Non_actifs_2018_p";"Portabilite_2018_p";"Asspri_2018_p";"Conjoint_2018_p";"Enfants_2018_p";"Femmes_2018_p";"Hommes_2018_p";"Respo_2018_p";"Non_respo_2018_p";"Index_2018";"Tps_adh_E_par_L_2018";"Tps_adh_P_par_L_2018";"Nb_pers_2019";"Nb_fam_2019";"Base_2019";"Option_2019_p";"Actifs_2019_p";"Non_actifs_2019_p";"Portabilite_2019_p";"Asspri_2019_p";"Conjoint_2019_p";"Enfants_2019_p";"Femmes_2019_p";"Hommes_2019_p";"Respo_2019_p";"Non_respo_2019_p";"Index_2019";"Tps_adh_E_par_L_2019";"Tps_adh_P_par_L_2019";"Nb_pers_2020";"Nb_fam_2020";"Base_2020";"Option_2020_p";"Actifs_2020_p";"Non_actifs_2020_p";"Portabilite_2020_p";"Asspri_2020_p";"Conjoint_2020_p";"Enfants_2020_p";"Femmes_2020_p";"Hommes_2020_p";"Respo_2020_p";"Non_respo_2020_p";"Index_2020";"Tps_adh_E_par_L_2020";"Tps_adh_P_par_L_2020";"Nego_2020";"Nb_pers_2021";"Nb_fam_2021";"Base_2021";"Option_2021_p";"Actifs_2021_p";"Non_actifs_2021_p";"Portabilite_2021_p";"Asspri_2021_p";"Conjoint_2021_p";"Enfants_2021_p";"Femmes_2021_p";"Hommes_2021_p";"Respo_2021_p";"Non_respo_2021_p";"Index_2021";"Tps_adh_E_par_L_2021";"Tps_adh_P_par_L_2021";"Nego_2021";"Nb_pers_2022";"Nb_fam_2022";"Base_2022";"Option_2022_p";"Actifs_2022_p";"Non_actifs_2022_p";"Portabilite_2022_p";"Asspri_2022_p";"Conjoint_2022_p";"Enfants_2022_p";"Femmes_2022_p";"Hommes_2022_p";"Respo_2022_p";"Non_respo_2022_p";"Index_2022";"Index_2023";"Tps_adh_E_par_L_2022";"Tps_adh_P_par_L_2022";"Nego_2022";"VIP"
"900";NA;NA;"CPM";"94";"1963";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE;1455;757;1455;0;71.18;24.17;4.65;51.75;19.73;28.52;55.4;44.6;100;0;NA;1;0.9;FALSE;1377;712;1377;0;73.2;25.81;0.99;51.49;19.97;28.54;54.83;45.17;100;0;0.01;0.13;2;1.8;FALSE;TRUE
"901";NA;NA;"CPM";"95";"1969";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE;1;1;1;0;100;0;0;100;0;0;100;0;100;0;NA;1;1;FALSE;1;1;1;0;100;0;0;100;0;0;100;0;100;0;NA;NA;2;2;FALSE;FALSE
"902";NA;NA;"CPM";"96";"1970";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE;82;42;82;0;42.86;54.76;2.38;51.22;24.39;24.39;43.9;56.1;100;0;NA;1;1;FALSE;77;39;77;0;46.15;53.85;0;50.65;24.68;24.68;42.86;57.14;100;0;NA;NA;2;2;FALSE;FALSE
"903";NA;NA;"CPM";"97";"1975";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE;294;114;294;0;94.74;0;5.26;38.78;24.15;37.07;40.82;59.18;100;0;NA;1;0.9;FALSE;350;131;350;0;96.15;0;3.85;37.14;22.57;40.29;43.14;56.86;100;0;NA;NA;2;1.4;FALSE;TRUE
"904";NA;NA;"CPM";"98";"1979";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE;21;8;21;0;87.5;0;12.5;38.1;14.29;47.62;66.67;33.33;100;0;NA;1;0.9;FALSE;13;6;13;0;83.33;0;16.67;46.15;15.38;38.46;69.23;30.77;100;0;NA;NA;2;1.8;FALSE;FALSE
"905";NA;NA;"CPM";"100";"1981";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE;2;1;2;0;100;0;0;50;50;0;50;50;100;0;NA;1;1;FALSE;2;1;2;0;100;0;0;50;50;0;50;50;100;0;NA;NA;2;2;FALSE;FALSE
"906";NA;NA;"CPM";"101";"1982";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE;10;7;10;0;100;0;0;70;10;20;30;70;100;0;NA;1;0.9;FALSE;10;7;10;0;100;0;0;70;10;20;30;70;100;0;NA;NA;2;1.8;FALSE;FALSE
"907";"4778A";NA;"MJ";"106";"2014";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE;22;16;22;0;37.5;56.25;6.25;72.73;9.09;18.18;68.18;31.82;100;0;NA;1;1;FALSE;16;14;16;0;35.71;64.29;0;87.5;12.5;0;62.5;37.5;100;0;NA;NA;2;2;FALSE;FALSE
"908";"4619B";NA;"MUTIMJ";"107";"2012";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE;56;44;56;0;95.45;0;4.55;78.57;3.57;17.86;55.36;44.64;100;0;NA;1;1;FALSE;52;41;52;0;100;0;0;78.85;3.85;17.31;55.77;44.23;100;0;NA;NA;2;1.9;FALSE;FALSE
"909";"4752A";NA;"MJ";"108";"2013";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE;1;1;0;100;100;0;0;100;0;0;0;100;100;0;NA;1;1;FALSE;1;1;0;100;100;0;0;100;0;0;0;100;100;0;NA;NA;2;2;FALSE;FALSE
